x,wave_1
-200.0,2.752710258838778e-25
-199.98000000000002,5.504716193842979e-25
-199.95999999999998,8.255313690251603e-25
-199.94,1.1003799053609762e-24
-199.92000000000002,1.3749469220914497e-24
-199.9,1.6491621971629004e-24
-199.88,1.9229556138522308e-24
-199.86,2.1962571818289286e-24
-199.84,2.4689970581907946e-24
-199.82,2.7411055684690687e-24
-199.8,3.0125132275985852e-24
-199.77999999999997,3.2831507608486703e-24
-199.76,3.552949124710631e-24
-199.74,3.8218395277374944e-24
-199.72,4.0897534513319476e-24
-199.7,4.356622670478325e-24
-199.68,4.6223792744145e-24
-199.66,4.886955687239997e-24
-199.64,5.150284688455968e-24
-199.62,5.4122994334334865e-24
-199.60000000000002,5.672933473806361e-24
-199.57999999999998,5.932120777784473e-24
-199.56,6.189795750384537e-24
-199.54000000000002,6.445893253574142e-24
-199.51999999999998,6.700348626326246e-24
-199.5,6.953097704580354e-24
-199.48000000000002,7.204076841107282e-24
-199.46,7.453222925274592e-24
-199.44,7.700473402709406e-24
-199.42000000000002,7.945766294856022e-24
-199.4,8.189040218425312e-24
-199.38,8.430234404733592e-24
-199.35999999999999,8.669288718928437e-24
-199.33999999999997,8.906143679099024e-24
-199.32,9.140740475268987e-24
-199.3,9.373020988270037e-24
-199.27999999999997,9.602927808494045e-24
-199.26,9.830404254522678e-24
-199.24,1.005539439163252e-23
-199.22,1.0277843050175198e-23
-199.2,1.049769584383083e-23
-199.18,1.0714899187734813e-23
-199.16000000000003,1.0929400316476694e-23
-199.14,1.1141147301971504e-23
-199.12,1.1350089071203347e-23
-199.10000000000002,1.155617542384128e-23
-199.08,1.1759357049728633e-23
-199.06,1.1959585546246125e-23
-199.04000000000002,1.2156813435550242e-23
-199.02,1.2350994181688363e-23
-199.0,1.254208220759264e-23
-198.98,1.2730032911954653e-23
-198.95999999999998,1.2914802685983532e-23
-198.94,1.3096348930051048e-23
-198.92,1.3274630070226338e-23
-198.89999999999998,1.3449605574704752e-23
-198.88,1.362123597013542e-23
-198.86,1.3789482857851602e-23
-198.83999999999997,1.3954308930009918e-23
-198.82,1.4115677985644232e-23
-198.8,1.4273554946640715e-23
-198.77999999999997,1.4427905873641235e-23
-198.76,1.457869798188215e-23
