x,wave
-200.0,1.1110523894453942e-15 - 1.477280542552627e-16im
-199.98000000000002,1.126714462768829e-15 - 1.5044645406042363e-16im
-199.95999999999998,1.1151255463373956e-15 - 1.0972980087212883e-16im
-199.94,1.0960310192892259e-15 - 1.0847599019755729e-16im
-199.92000000000002,1.1043909637021962e-15 - 1.0024929552713374e-16im
-199.9,1.096314727810028e-15 - 8.485741728452944e-17im
-199.88,1.0776968646269636e-15 - 8.74331275974588e-17im
-199.86,1.1032404449202764e-15 - 7.904070161899802e-17im
-199.84,1.0938574723245351e-15 - 6.195181429989768e-17im
-199.82,1.0849673934826716e-15 - 6.153204121436042e-17im
-199.8,1.0816200942518743e-15 - 5.2070472132063295e-17im
-199.77999999999997,1.0837449096125486e-15 - 4.5929178677002406e-17im
-199.76,1.0754001676147728e-15 - 2.2942378904776472e-17im
-199.74,1.1017679494689616e-15 - 2.862955950842651e-17im
-199.72,1.0723564973108944e-15 - 3.2396464729249422e-18im
-199.7,1.0744432122737643e-15 + 6.795039901397931e-18im
-199.68,1.0856415839010629e-15 - 7.11786056694704e-18im
-199.66,1.0702948191531864e-15 + 1.122333766259655e-17im
-199.64,1.0720945125171842e-15 + 1.0571483654840616e-17im
-199.62,1.0501057182110128e-15 + 3.945261331965455e-18im
-199.60000000000002,1.0585347340110875e-15 + 2.031572198938394e-17im
-199.57999999999998,1.0571751558091828e-15 + 1.9862340754204324e-17im
-199.56,1.0445862769283768e-15 + 3.2544833748782553e-17im
-199.54000000000002,1.0804703303485021e-15 + 5.750917712267745e-17im
-199.51999999999998,1.055640655472723e-15 + 5.726842394339447e-17im
-199.5,1.071287023128598e-15 + 8.119772791596138e-17im
-199.48000000000002,1.055646820314195e-15 + 5.624341748081833e-17im
-199.46,1.0699786298859894e-15 + 8.802360381969649e-17im
-199.44,1.0615395700074622e-15 + 9.052076105813955e-17im
-199.42000000000002,1.0561810226997054e-15 + 8.335621138407944e-17im
-199.4,1.0547936817423281e-15 + 8.862840635242545e-17im
-199.38,1.050930590775042e-15 + 7.9232413412291e-17im
-199.35999999999999,1.066808748082724e-15 + 9.560960769119823e-17im
-199.33999999999997,1.0767121884681795e-15 + 9.874717911996334e-17im
-199.32,1.04297150783969e-15 + 1.1257915818067043e-16im
-199.3,1.0661929349386796e-15 + 9.593962722456316e-17im
-199.27999999999997,1.0582277920060984e-15 + 1.04958791608617e-16im
-199.26,1.0693856727868584e-15 + 1.325440995108012e-16im
-199.24,1.0646864699527234e-15 + 1.191775843289708e-16im
-199.22,1.0599697161923567e-15 + 1.306798404410302e-16im
-199.2,1.0641641988420346e-15 + 1.390033383741247e-16im
-199.18,1.0791287434186483e-15 + 1.3131542983035757e-16im
-199.16000000000003,1.077800660427257e-15 + 1.4880683467465377e-16im
-199.14,1.0604079231892323e-15 + 1.557880890908244e-16im
-199.12,1.0710813816309255e-15 + 1.5150410746390123e-16im
-199.10000000000002,1.0811088737243683e-15 + 1.387152080473858e-16im
-199.08,1.0712346219760861e-15 + 1.6316905169794337e-16im
-199.06,1.0677964018180013e-15 + 1.5106725557886306e-16im
-199.04000000000002,1.0556086150721475e-15 + 1.7349652020699934e-16im
-199.02,1.0650119064821282e-15 + 1.6679991266760322e-16im
-199.0,1.0752649395105118e-15 + 1.8675610212457287e-16im
-198.98,1.0581363678264462e-15 + 1.7578789768442496e-16im
-198.95999999999998,1.0940322686459989e-15 + 1.8047778772870035e-16im
-198.94,1.0820458038150174e-15 + 2.0235459527811554e-16im
-198.92,1.0951571215573005e-15 + 1.8046086979958433e-16im
-198.89999999999998,1.0619224821507266e-15 + 1.9555277129893705e-16im
-198.88,1.0660739157543432e-15 + 1.963889119979527e-16im
-198.86,1.0809741698413208e-15 + 1.9990052050483596e-16im
-198.83999999999997,1.0942900177323032e-15 + 1.9375276209165832e-16im
-198.82,1.088965481896885e-15 + 1.9837424257811146e-16im
-198.8,1.0738956317628826e-15 + 1.9426117410401246e-16im
-198.77999999999997,1.089534660321767e-15 + 1.8998494439828548e-16im
-198.76,1.0717906319640825e-15 + 2.0610670992503485e-16im
-198.74,1.0968412346281228e-15 + 2.1973850069924413e-16im
-198.72000000000003,1.0932504241591822e-15 + 1.8527976020010324e-16im
-198.7,1.104428414065696e-15 + 1.9654891741787478e-16im
-198.68,1.094797296116283e-15 + 1.881817204044143e-16im
-198.66000000000003,1.0893225394498946e-15 + 2.138795056099208e-16im
-198.64000000000001,1.1179542859436965e-15 + 2.3260182773311396e-16im
-198.62,1.1094005054947844e-15 + 2.0352027322697955e-16im
-198.60000000000002,1.1107827719908137e-15 + 2.2588305481025364e-16im
-198.57999999999998,1.1071075828753315e-15 + 2.0956350848292984e-16im
-198.56,1.1046272197187428e-15 + 2.0726047887847887e-16im
-198.54,1.1302363486326047e-15 + 2.3166888172368822e-16im
-198.51999999999998,1.1406379249840748e-15 + 2.2763021072422384e-16im
-198.5,1.1395678427051706e-15 + 2.441331034210054e-16im
-198.48000000000002,1.137595428935715e-15 + 2.293325588299613e-16im
-198.45999999999998,1.1481496375357378e-15 + 2.298075399449709e-16im
-198.44,1.1317242352187511e-15 + 2.1745114006686773e-16im
-198.42000000000002,1.131665962788647e-15 + 2.0576911670568641e-16im
-198.39999999999998,1.164822996486759e-15 + 2.0904883857983832e-16im
-198.38,1.169585672025437e-15 + 2.1785284816174596e-16im
-198.36,1.1582976376017636e-15 + 2.429402773660419e-16im
-198.34,1.1652779156559239e-15 + 2.266348876325915e-16im
-198.32,1.1634987717634996e-15 + 2.3394386025099933e-16im
-198.3,1.1570830380186931e-15 + 2.2972867086338433e-16im
-198.28,1.1738873474288723e-15 + 2.372417306635662e-16im
-198.26,1.1932119027455714e-15 + 2.2739463619525477e-16im
-198.24,1.1923207266824455e-15 + 2.274599725062122e-16im
-198.22000000000003,1.1864194426678207e-15 + 2.286513988905354e-16im
-198.20000000000002,1.1945926594845055e-15 + 2.28250993485373e-16im
-198.17999999999998,1.1930652046811564e-15 + 2.2460129986861443e-16im
-198.16,1.1919060886713338e-15 + 2.227652465212414e-16im
-198.14,1.2002435125409676e-15 + 2.175012162982972e-16im
-198.12,1.1937599865088179e-15 + 2.0364620951022958e-16im
-198.1,1.2100793283898685e-15 + 2.012146749385819e-16im
-198.07999999999998,1.2022727099522808e-15 + 2.317605418028868e-16im
-198.06,1.2145408912634527e-15 + 2.0695851697501904e-16im
-198.04000000000002,1.2198168422767943e-15 + 2.1760163873508114e-16im
-198.01999999999998,1.2116200774431945e-15 + 2.0573011988960648e-16im
-198.0,1.2343061488700037e-15 + 2.0171706495974479e-16im
-197.98000000000002,1.2303646763468596e-15 + 2.1407896653948474e-16im
-197.95999999999998,1.2221469007270185e-15 + 2.268848494127679e-16im
-197.94,1.2357123617910705e-15 + 1.98942092102217e-16im
-197.92000000000002,1.2545154428133254e-15 + 1.9290086461351479e-16im
-197.9,1.2683259248726157e-15 + 2.123412151540866e-16im
-197.88,1.2649155094077004e-15 + 1.8328740505568216e-16im
-197.86,1.2754232300705008e-15 + 1.9815650467593521e-16im
-197.84,1.2650612219362335e-15 + 2.0108543344058012e-16im
-197.82,1.27117622045522e-15 + 1.8774353961859963e-16im
-197.8,1.2896808728249946e-15 + 2.1046388462835438e-16im
-197.77999999999997,1.2877782224146454e-15 + 1.8656341020142956e-16im
-197.76,1.293708401502564e-15 + 1.8277190426196704e-16im
-197.74,1.318020523258577e-15 + 1.8609335414472176e-16im
-197.72,1.3327410114069855e-15 + 1.598152337763547e-16im
-197.7,1.3383799960951715e-15 + 1.5710501141257818e-16im
-197.68,1.3377605343714808e-15 + 1.4846969228554898e-16im
-197.66,1.3590937585967682e-15 + 1.5310818899259572e-16im
-197.64,1.3448458034503016e-15 + 1.548763805933148e-16im
-197.62,1.369980575072398e-15 + 1.6571879946381164e-16im
-197.60000000000002,1.3776485265145633e-15 + 1.3823099670735764e-16im
-197.57999999999998,1.3779633108689078e-15 + 1.5047050442869852e-16im
-197.56,1.3809506378767481e-15 + 1.4517788711242355e-16im
-197.54000000000002,1.379240523433731e-15 + 1.404165588222644e-16im
-197.51999999999998,1.3782409803613294e-15 + 1.3893051487368395e-16im
-197.5,1.389808529536096e-15 + 1.2089268411572917e-16im
-197.48000000000002,1.4047092868754387e-15 + 1.2617991112737527e-16im
-197.46,1.4162806104429433e-15 + 1.4953331222744265e-16im
-197.44,1.4165742791668038e-15 + 1.1947153089007464e-16im
-197.42000000000002,1.4232672839959097e-15 + 1.4402540905371806e-16im
-197.4,1.4166706729635614e-15 + 1.303358635178531e-16im
-197.38,1.4167001761334629e-15 + 1.3678788778672437e-16im
-197.35999999999999,1.4240924920615156e-15 + 1.2582880610624618e-16im
-197.33999999999997,1.4513420559346823e-15 + 1.3275175926014594e-16im
-197.32,1.428925853588636e-15 + 1.2587568458827266e-16im
-197.3,1.4331151359638746e-15 + 1.1771379488146086e-16im
-197.27999999999997,1.4679121852443207e-15 + 1.1020485677057096e-16im
-197.26,1.4467319078003142e-15 + 1.0998355809580131e-16im
-197.24,1.4635858295061488e-15 + 1.0791894692040321e-16im
-197.22,1.4615366487821732e-15 + 9.323072851935097e-17im
-197.2,1.4732306401136612e-15 + 1.0975240930442807e-16im
-197.18,1.4704822741038297e-15 + 8.711609040244878e-17im
-197.16000000000003,1.4562013768963004e-15 + 1.1398611418530756e-16im
-197.14,1.459612421426672e-15 + 9.919395189146898e-17im
